id,nombre,precio,precioCaja,descripcion,folderId,finalArtId,proveedor,codCaja,stockJson,familia,subcategoria,unidad,unidadDetalle,imagen,fecha
2,Cable pasa corriente bateria auto,160.0,0.0,,1__kAPQHi0o42DQMIaLTES_gg9UIkGSXO,,,,"{""isCatalog"": false}",,,Unidad,,,
3,Clavija Brasilera 15Amp,15.01,0.0,,1_0d009K6lN1_69boqbiJv3hWfIqkOC-T,,Novaled,,"{""isCatalog"":false,""general"":6}",,,Unidad,,,2026-07-06
4,Placa interruptor simple SICA,35.0,0.0,,1_1kPC1NISAUNZc6QZYlg7KN0Go8W91q5,,,,"{""isCatalog"": false}",Electricidad,Interruptores,Unidad,,,
5,Alargador de corriente de 30 metros,210.0,0.0,,1_4Pq2De1LlEllXVkTPUZANOL9_LhcZcF,,,,"{""isCatalog"": false}",,,Unidad,,,
6,Reflector LED 400W,600.0,0.0,,1_6DoehhIcCNfCOUm8HR7NR8kO0SRPpZ9,,,,"{""isCatalog"": false}",,,Unidad,,,
8,Roseta p/RJ45,15.0,0.0,,1_BmdruoGT_Ts50KU-OShsZdKw0TDxJYk,,,,"{""isCatalog"": false}",,,Unidad,,,
9,Refelctor led 150W,250.0,0.0,,1_d4ivrSJsObSDjJ7FWvbv--YIUun-2IJ,,,,"{""isCatalog"": false}",,,Unidad,,,
10,Tubo led con base de tipo T8,60.0,0.0,,1_eES9hap0UM6sY6BPZEIlhCmRXON59YT,,,,"{""isCatalog"": false}",Iluminación,Tubos LED,Unidad,,,
11,"Alambre de cobre #16 de un filamento, antillama, marca Tigre",252.0,0.0,,1_miBeWEg1k2gp_QS23PnGYAMIANMtOCg,,,,"{""isCatalog"": false}",,,Unidad,,,
12,Termicos de 40A,45.0,0.0,,1_mLTwjj7pB4Ir5Y68XB19Grifz0vhDSG,,,,"{""isCatalog"": false}",,,Unidad,,,
13,Batería 9V recargable con cable Tipo C,75.0,0.0,,1_n3E--sxV-Xu-Yd32cc0cX9dK-jAOAL1,,,,"{""isCatalog"": false}",,,Unidad,,,
14,Lampara tipo LED- tubo LED de 12Watts de 60cm,18.0,0.0,,1_OzUEjROfDI_6X7-xkrUmfY17d8klmak,,,,"{""isCatalog"": false}",,,Unidad,,,
15,Hilo de caña (rollo de 100 metros),50.0,0.0,,1_q3tDWIcSClk__AJJKBDMoh8kEpFnuzr,,,,"{""isCatalog"": false}",,,Unidad,,,
16,Placa Conatel Grafito euroamericano con tierra,68.0,0.0,,1_qxzHXyJbIEVDxp0iFQv7hXxliAPPf0y,,,,"{""isCatalog"": false}",,,Unidad,,,
17,Volanda de 1/8 (kilo),98.0,0.0,,1_RaURDtExGpuVB_GapaXUv7DKl7Pkrm4,,,,"{""isCatalog"": false}",,,Unidad,,,
18,"FOCOS LED 120 X 0,30 SOBREPUESTO BLANCAS",240.0,0.0,,1_rseZ-d3gmV5KLajf8ekGt0gvi_YP94x,,,,"{""isCatalog"": false}",,,Unidad,,,
19,CINTA AISLANTE 20 YARDAS,20.0,0.0,,1_rZs0x3pRGSNd_8tcvgKsV5HhRf71JC3,,,,"{""isCatalog"": false}",,,Unidad,,,
20,Resistencia para ducha reforzado lorenzetti,20.0,0.0,,1_TYavi29LwQbUpQOUbx1lC__AkQdKVDA,,,,"{""isCatalog"": false}",,,Unidad,,,
22,Interruptor simple de 25Amp Veto,28.0,0.0,,1_WeQq6MN2S8bPEbsR5Zh5X2WQa26gWj8,,,,"{""isCatalog"": false}",,,Unidad,,,
