id,nombre,folderId
2,Metros,UNIDADES_MEDIDA_1785872233669_972168
3,Kg,UNIDADES_MEDIDA_1785872233669_64642
4,Rollo,UNIDADES_MEDIDA_1785872233669_166287
5,Barra,UNIDADES_MEDIDA_1785872233669_615855
6,Caja,UNIDADES_MEDIDA_1785872233669_582468
7,Par,UNIDADES_MEDIDA_1785872233669_175027
8,Pza,1Tk3X5dn-ViK3OcKuFadEPMs5qqxV2dt8
9,hoka,UM_1784147023736
10,tttt,UM_1785421094764
11,zzdd,UM_1785421126888
12,djdjjdjdj,UM_1785422204616
13,jfjrjr,UM_1785422221213
14,djsjjjj,UM_1785422714979
15,dhhehe,UM_1785422719961
16,libro,UM_1785423467698
17,fyxjc,UM_1785423704821
18,6g7gg,UM_1785423913828
19,hdjdjdj,UM_1785424727533
20,altttt,UM_1785504498465
21,Bolsa,UNIDADES_MEDIDA_1781875249642_741247
22,Pieza,UNIDADES_MEDIDA_1782933379439_733424
23,BALDE,UNIDADES_MEDIDA_1784662781052_494703
24,Juego,UNIDADES_MEDIDA_1784663461152_680628
25,Frasco,UNIDADES_MEDIDA_1784663491878_285905
