Name,Price,Description,
Abrazadera metálica de 5/8,2.5,,2025/03/27
"Abrazaderas para tubo 6""",15,,2023/05/12
Aceite de maquina,35,,2023/10/26
"Aceite penetrante WD 40, 11oz, 311 gr",75,,2023/11/01
Adaptador enchufe triple con entrada universal y aterramiento y terminación plana,20,,2026/05/13
Adaptador enchufe triple con entrada universal y aterramiento y terminación redonda,20,,2026/05/13
Adaptador para clavija universal,16,,2025/04/07
Adaptador simple,15,,2023/10/26
Adaptador universal,15,,2023/08/29
Adaptadores IDE-SATA,110,,2023/05/16
Aerosol color azul,30,,2026/03/24
Aguarrás (litro),22,,2024/08/14
ALAMBR ELÉCTRICO N°12 TIGRE (rollo 100 metros),850,,2026/05/04
Alambre aislado de cobre N° 12 (de 1 hebra) METRO,13,,2025/06/16
Alambre aislado de cobre N° 14 (de 1 hebra) METRO,9,,2025/06/16
Alambre CU AWG 1*2.5 (N°14),310,,2023/06/09
ALAMBRE DE AMARRE  DE UN KILO,25,,2025/05/14
Alambre de amarre (1Kg),35,,2025/07/03
Alambre de amarre (kilo),20,,2026/03/09
Alambre de amarre rollo 5kg,18,,2023/01/12
Alambre de cobre,690,"Un sólo hilo N°10
100mts de largo
Revestimiento de goma
Marca Tigre, industria Boliviana",2023/05/15
Alambre de cobre #10 marca tigre (rollo de 100M),680,,2023/10/03
Alambre de cobre #12 (rollo de 100M) Marca Tigre,410,,2023/10/03
"Alambre de cobre #12, de un filamento, antillama, marca Tigre",495,,2024/05/27
"Alambre de cobre #14, de un filamento, antillama, marca Tigre",355,,2024/05/27
"Alambre de cobre #16 de un filamento, antillama, marca Tigre",252,,2024/05/27
Alambre de cobre N°16 (100mtrs),220.5,,2023/07/28
ALAMBRE ELECTRICO N°10 (ROLLO 100 METROS),1240,,2026/05/04
Alambre galvanizado,30,,2023/05/12
Alargador 5 metros,60,,2025/11/28
Alargador de 10 metros 15Amperios,70,,2023/10/12
Alargador de 10 mts,65,,2023/10/26
Alargador de 15Mts marca ULTRA,95,,2023/05/08
Alargador de 20 metros engomado negro,180,,2026/05/20
ALARGADOR DE 5 METROS DE 15 AMP EXTENCIÓN UNIVERSAL TRANSPARENTE,45,,2023/07/20
Alargador de corriente 30M,180,,2024/05/03
Alargador de corriente de 10 metros integrado marca ULTRA engomado,85,Al,2023/08/29
Alargador de corriente de 10MT,110,,2026/05/20
Alargador de corriente de 30 metros,210,,2024/12/04
Alargador de corriente de cable engomado de 20 MT 3 tomas,50,,2026/05/20
"Alargador Marca Ultra de 10 metros, 3 tomas",75,,2023/07/19
ALCAYATA,2.5,,2025/10/14
Alcohol Isopropilico2 litros,1,,2023/11/01
Alicate de presión Pico de Loro,132,,2023/11/01
Antitermitas Madeplast,230,,2024/06/16
Aplique cromado para pared,110,,2024/11/08
Aplique de baño COMPLETO con 3 focos de Aluminio y Cristal,350,,2023/07/20
"Aplique de pared, negro, con dicroico LED MR16",70,,2024/07/12
APLIQUE DE TRES FOCOS,300,,2023/07/20
"Aplique LED alto grado de protección tipo industrial 11""X5"" luz Blanca 24W",95,,2026/03/09
"Aplique LED de pared de 6 ojos, carcasa negra, 6W, p/ interperie IP65,",145,,2024/06/24
Aplique LED p/exterior tipo tortuga 15W,68,,2026/05/12
Aplique LED p/exterior tipo tortuga 18W,78,,2026/05/12
"Aplique LED para exterior, negro, 6 ojos, luz calida, 6W",150,,2023/08/01
ARMELLAS,3.5,,2025/10/14
Arrancador de 40W 220V Marca Philips (Holland),5,,2023/04/24
Arrancadores,6,,2022/11/23
Arrancadores de 40-65W,8,,2025/05/26
Balastro/reactancia electrónica 2*40,72,,2022/11/23
Balde de 18 Litros pintura acrílica Tradicional color blanco,430,,2023/08/29
Baliza de luz,300,,2022/12/14
